minecraft:end_flash	x=0	y=0	w=64	h=64
minecraft:missingno	x=34	y=66	w=16	h=16
minecraft:moon/first_quarter	x=0	y=66	w=32	h=32
minecraft:moon/full_moon	x=66	y=0	w=32	h=32
minecraft:moon/new_moon	x=66	y=34	w=32	h=32
minecraft:moon/third_quarter	x=66	y=68	w=32	h=32
minecraft:moon/waning_crescent	x=128	y=0	w=32	h=32
minecraft:moon/waning_gibbous	x=128	y=34	w=32	h=32
minecraft:moon/waxing_crescent	x=128	y=68	w=32	h=32
minecraft:moon/waxing_gibbous	x=162	y=0	w=32	h=32
minecraft:optifine/ctm/default/empty	x=0	y=100	w=16	h=16
minecraft:sun	x=162	y=34	w=32	h=32
